key=of   value=2526
key=now,"   value=3
key=afterthought,   value=1
key=staring   value=14
key=voice?"   value=1
key=there's   value=20
key=justice   value=2
key=answered;   value=2
key=ghost   value=2
key="Tom!   value=1
key=What,   value=1
key=Where   value=15
key=others?   value=1
key=thee,   value=6
key=doings...."   value=1
key="Is   value=5
key=Burbage?"   value=1
key=courtyard   value=1
key=stable-lantern,   value=1
key=high.   value=1
key=wavered   value=1
key=face,   value=9
key=extraordinarily   value=2
key=piles   value=1
key=pell-mell   value=1
key=stacked   value=1
key=wall,   value=2
key=twinkling   value=1
key=lantern   value=7
key="Dick   value=2
key=Burbage   value=11
key=Has   value=4
key=miscarried,   value=1
key=miscarry?   value=1
key=frail   value=1
key=thumb   value=2
key=shoulder.   value=8
key="Hark   value=2
key=yonder,   value=4
key=be?   value=2
key=around.   value=2
key=wagons'   value=1
key=coming,   value=1
key=shirt   value=3
key=dish-clout;   value=1
key=chill   value=2
key=plague!   value=1
key=hire,   value=1
key=house   value=12
key="That's   value=5
key=hired   value=6
key=two-score   value=1
key=less:   value=1
key=descended   value=5
key=twelve-score.   value=1
key=Ten-score   value=1
key=sinner;   value=1
key=counted   value=2
key=name,   value=6
key="Dick,"   value=1
key="when   value=1
key=sober   value=1
key=drinking--I   value=1
key=blame   value=4
key=loser   value=1
key=boggled   value=1
key=work;   value=1
key=heart."   value=1
key="Tut,   value=1
key=run   value=14
key=bridge.   value=5
key=go:   value=1
key=forby   value=1
key=Tom   value=3
key=one-tenth   value=1
key=drunk   value=7
key=deserve   value=2
key=stick   value=3
key=tolling   value=2
key='Twas   value=15
key=you!"   value=6
key=Theatre   value=1
key=down?   value=1
key=Oh,   value=10
key=Burbage!"   value=1
key=ground,   value=3
key=_Cecidit,   value=1
key=cecidit   value=2
key=Babylon   value=1
key=magna!_   value=1
key=heels   value=5
key=six   value=16
key=wagons.   value=1
key=Hist,   value=1
key=one!--Canst   value=1
key=wheels?   value=1
key=and--and--oh,   value=1
key="_He's_   value=1
key=following!"   value=1
key=rolling   value=7
key=cobbles   value=1
key=roadway   value=4
key=boundary-wall   value=1
key=yard:   value=1
key=clatter   value=1
key=hoofs   value=2
key=trumpet   value=2
key=declaimed   value=1
key=night--   value=1
key="_Above   value=1
key=thy   value=18
key=Ryver   value=1
key=Whose   value=2
key=beryall   value=1
key=streamys,   value=1
key=pleasaunt   value=1
key=preclare,   value=1
key=renneth   value=1
key=fair,   value=2
key=barge   value=3
key=row   value=7
key=better--a   value=1
key=murrain   value=1
key=jolting   value=1
key=ill   value=5
key=Gr-r-r!   value=1
key=Did   value=2
key=beware,   value=1
key=water   value=9
key=Europe,   value=1
key=night   value=25
key=Westminster   value=1
key=fired   value=2
key=windows   value=8
key=glass   value=15
key=drove   value=6
key=screaming   value=1
key=streets   value=12
key=night-rails....   value=1
key=Fleet   value=2
key=Privy   value=1
key=Council   value=1
key=forgive   value=2
key=part:   value=1
key=it--all   value=1
key=river   value=9
key=Europe!--   value=1
key=top-royall.   value=1
key=towne   value=1
key=townes!   value=1
key=patrone   value=1
key=all!_   value=2
key=Who-oop!"   value=1
key="In   value=11
key=of----"   value=1
key=stammered   value=5
key=listened,   value=1
key=clutching   value=5
key=dropped   value=28
key=top   value=15
key=stone   value=9
key='Your   value=1
key=Muses,'   value=1
key=says,   value=3
key=picking   value=5
key=up;   value=3
key=Pyrrhus   value=1
key=Troy--Pyrrhus   value=1
key=Danai   value=1
key=fire,   value=5
key=ripping   value=1
key=cronies   value=1
key=within!   value=1
key=sand-castle   value=1
key=tide.   value=3
key=hours   value=13
key=wiped   value=1
key=earth   value=9
key=praised   value=1
key=ne'er   value=4
key=such!   value=1
key=horse   value=13
key=bay   value=2
key=gelding   value=1
key=harness   value=1
key=brushwood   value=1
key="Of   value=2
key="Drunk?   value=1
key=I?"   value=1
key=gripped   value=5
key=other's   value=1
key=hysterically.   value=1
key=gate.   value=2
key=Between   value=3
key=wagoners'   value=1
key=standis_,   value=1
key=son),   value=1
key=_Wise   value=1
key=dwellis_,   value=1
key=inhabitants   value=2
key=thereof),   value=1
key=ryver   value=1
key=strandis,   value=1
key=Blith   value=1
key=chirches,   value=1
key=sowning   value=1
key=bellis._"   value=1
key="Well   value=2
key=way,"   value=1
key=high,   value=2
key=calls   value=1
key=promise."   value=2
key=lad--in   value=1
key=time:   value=5
key=yard,   value=4
key=base-court,   value=1
key=mornyng   value=1
key=tyde-a,   value=1
key=gates   value=4
key=_Then   value=1
key=strokes   value=4
key=warely,   value=1
key=forest!   value=1
key=Sherwood?   value=1
key=_With   value=2
key=stronge-a   value=1
key=marveiled   value=1
key=thronge-a._   value=1
key=_They   value=1
key=counsell,   value=1
key=necke   value=1
key=caste   value=1
key=hys   value=1
key=hym   value=1
key=fro-a._   value=1
key=Within!   value=1
key=rascal,   value=1
key=lantern!...   value=1
key=rascals?"   value=1
key=Nashe   value=7
key="'T   value=1
key=evidence;   value=1
key=stable-lantern----"   value=1
key=Put   value=1
key=searching   value=4
key=man."   value=4
key="Then   value=14
key=faith   value=1
key=met,"   value=1
key=responded   value=1
key=recognising   value=2
key=Burbage's   value=4
key=grave   value=10
key=overtaken,"   value=1
key="Marry,   value=1
key=suit.   value=1
key=acquaintance,   value=1
key=members   value=3
key=aright,   value=1
key=confidence,   value=2
key=triumph   value=3
key="At   value=4
key=Nance   value=1
key=Paris   value=6
key=Garden,   value=1
key=welcome."   value=1
key=mine,   value=6
key=pledged   value=1
key=too."   value=4
key=tells   value=3
key=well,   value=17
key=Sir--an   value=1
key=hospitality   value=1
key=time;   value=2
key=same:   value=1
key=sappy   value=1
key=virtues   value=2
key=flourishing   value=1
key=wood,   value=1
key=noble   value=6
key=stock."   value=1
key=happier   value=1
key=welcome   value=6
key=claim."   value=1
key=fly   value=4
key=gentlefolks   value=1
key=delicious   value=1
key=terror.   value=1
key=glanced   value=13
key=nervously   value=1
key=approaching   value=2
key="My   value=24
key=claim?"   value=1
key=hospitalities   value=1
key=children.   value=3
key=Nashe!"   value=1
key=anon,   value=1
key=Sir,"   value=16
key=arrived?"   value=1
key=asked   value=13
key="Six,   value=1
key=lad--six,   value=1
key=fellows   value=6
key=But--six?   value=1
key=train-bands   value=1
key=Dick!   value=1
key=eyes,   value=13
key=rounder   value=1
key=travelled   value=4
key="Father?"   value=1
key=Will!   value=1
key=Set   value=1
key=embrace   value=1
key=fame.   value=1
key=Didst   value=3
key=methinks,   value=1
key=Shakespeare."   value=1
key=fry."   value=1
key="Shouldst   value=1
key=applause,   value=1
key=deserved.   value=1
key=neat,   value=1
key=fetched   value=12
key=business:   value=1
key=homesickness:   value=1
key=Quiney----But   value=1
key=thee.   value=2
key=Ay,   value=3
key=solidified:   value=1
key=beard   value=2
key=ta'en   value=1
key=citizen's   value=1
key=ha'   value=3
key=cordial   value=1
key=staid   value=2
key=soul!   value=1
key=There's   value=13
key=filling   value=2
key=firming   value=1
key=footstep.   value=1
key=Talking   value=1
key=property,   value=1
key=steward   value=1
key=Place   value=1
key=roof,   value=2
key=rebuilt   value=1
key=chimney   value=2
key=overleaning   value=2
key=road,   value=10
key=launders,   value=1
key=parlour-window,   value=1
key=kitchen   value=2
key=cropped   value=1
key=summer,   value=1
key=lettuce   value=1
key=winter-kale   value=1
key=whereof   value=2
key=thrive.   value=1
key=saying,   value=4
key=Quiney----"   value=1
key="--Is   value=1
key="None   value=1
key=Bushell   value=1
key=draws   value=1
key=acres   value=2
key=dealt   value=1
key=January."   value=1
key="Land   value=1
key=ale   value=2
key=Shakespeare   value=24
key=swung   value=14
key=proverb   value=1
key=Warwickshire?   value=1
key=stones,   value=1
key=Who   value=9
key=shells,   value=1
key=Will,   value=4
key=yours   value=2
key=supper:   value=2
key=throats   value=1
key=dry   value=4
key='em   value=23
key=tarries   value=1
key=vintage   value=1
key=roasted   value=1
key=capons,   value=1
key=sucking-pigs?   value=1
key=custards,   value=1
key=frumenties?   value=1
key=dancing   value=3
key=swallowed   value=3
key=pecks   value=1
key=dust.   value=1
key=both--high,   value=1
key=brave   value=2
key=translunary   value=1
key=veins   value=1
key=it--Hippocras   value=1
key=hippocrene:   value=1
key=music   value=7
key=too--some   value=1
key=theorbo   value=1
key=gamba   value=1
key=interludes.   value=1
key=fog-pated   value=1
key=from,   value=1
key=pestilent   value=1
key=trees   value=4
key=recovered   value=4
key=dearth----"   value=1
key=thoughtfully.   value=1
key=wheat   value=2
key=oats----"   value=1
key=malt,   value=1
key=malt!   value=1
key=brewhouse   value=1
key=twelve-and-threepence   value=1
key=dearth,   value=1
key=unawares.   value=2
key=Sure,   value=1
key=us.   value=12
key=battering   value=2
key=doors   value=3
key=grant   value=2
key=arms,   value=4
key=ere   value=1
key=grown?"   value=1
key="Malt   value=1
key=twenty-eight,   value=1
key=say?"   value=1
key="Last   value=1
key=year,   value=6
key=dearth.   value=1
key=bettering   value=2
key=shillings."   value=1
key=brown   value=2
key="We   value=9
key="How?   value=1
key=road?   value=1
key=Burbage--better   value=1
key=used,   value=2
key=authors--betrayed   value=1
key=surprise.   value=2
key=stared,   value=1
key=believing   value=1
key=Was   value=2
key=Shallow   value=1
key=himself--"How   value=1
key=now?"   value=2
key=tread   value=1
key=morn,   value=1
key=too?"   value=3
key=gruff   value=3
key=wage,   value=2
key=tip   value=1
key=wagoner's   value=1
key=encountered   value=2
key="Go   value=5
key=horses,   value=2
key=unloading   value=1
key=anon.   value=1
key=wagons--ay,   value=1
key=paid.   value=1
key=receipt."   value=1
key=wages,"   value=1
key=growled   value=2
key=price   value=2
key=rate,   value=5
key=talkin'   value=2
key=We're   value=2
key=labouring   value=1
key=baggage   value=1
key=day's   value=9
key=I'd   value=7
key=dirty   value=5
key=linen   value=1
key=Therefore,"   value=1
key=wound   value=5
key="you'll   value=2
key=twelvepence   value=1
key=groat   value=2
key=see,"   value=5
key="twopence   value=1
key=salving   value=1
key=conscience,   value=1
key=stomach   value=5
key=godless   value=1
key=neighbourhood   value=3
key=violent."   value=1
key=whistle   value=2
key=doublet   value=2
key="Listen   value=1
key=carols,   value=1
key=warrant."   value=1
key=noise   value=11
key=kennels   value=1
key=Bear-Pit.   value=1
key=wish,   value=1
key=dogs?   value=1
key=No?   value=1
key=then?   value=1
key=Say   value=1
key=word,   value=2
key=wagoner   value=3
key=jaw   value=2
key=determined.   value=1
key=baying.   value=1
key="No   value=2
key=man!"   value=5
key=spoke   value=14
key=William   value=5
key=jump.   value=2
key="Call   value=2
key=expound   value=1
key=proposal.   value=1
key=treat   value=4
key=you--having   value=1
key=leaders."   value=1
key=surlily   value=1
key=heel.   value=3
key="I'll   value=7
key=disputing   value=1
key=worse   value=8
key=touches   value=1
key=Patty   value=1
key=_she_   value=1
key=demure.   value=1
key=roisterers,   value=1
key=happen,   value=1
key=belike,   value=2
key=perchance   value=1
key=footsteps   value=3
key=darkness,   value=6
key=imagination   value=1
key=shuddered   value=1
key=at:   value=2
key=youth   value=7
key=demure;   value=1
key=waterside   value=5
key=lanes   value=4
key=leading   value=11
key=Witwold's   value=4
key=Gardens   value=1
key=Chepe   value=1
key=midnight,   value=1
key=ajar,   value=1
key=light   value=38
key=Through   value=2
key=instrument.   value=1
key=await   value=1
key=guests.   value=1
key=deserted.   value=2
key=overhanging   value=2
key=storeys   value=1
key=curtains.   value=1
key=shadows   value=2
key=feeling   value=9
key=watching,   value=2
key=within--a   value=1
key=constraint,   value=1
key=inmates   value=1
key=whispered   value=8
key=thrumming   value=1
key=remarked,   value=1
key=silent.   value=1
key=door,   value=15
key=rest.   value=3
key=Her   value=10
key=alley   value=1
key=stairs.   value=3
key=pavement,   value=1
key=threshold   value=3
key=upward.   value=1
key=lattice   value=5
key=flown   value=1
key=sill.   value=2
key=faint   value=7
key=doorway   value=13
key=out-stretched   value=1
key=moment;   value=1
key=room.   value=6
key=roots   value=1
key=shape   value=2
key=there!"   value=5
key=snatching   value=3
key=aloft   value=7
key=dim   value=1
key="What's   value=7
key=woman's   value=4
key=curtain   value=5
key=stealthily,   value=1
key=answer.   value=4
key=there?"   value=3
key=withal.   value=2
key=hid   value=5
key=dwarfs,   value=1
key=streets?"   value=1
key="Dwarfs?"   value=2
key=studded   value=1
key=repeated.   value=4
key=brace   value=1
key=misbegotten   value=1
key=Wapping   value=1
key=Serendib,   value=1
key=Cathay,   value=2
key=was."   value=1
key=out?"   value=1
key=aught   value=3
key=pickled   value=1
key=lighted   value=1
key=cried   value=17
key=Christian,"   value=1
key=said.   value=7
key=handle,   value=1
key=apprentice's,   value=1
key=stairs'   value=2
key=glimpse   value=5
key=Bankside.   value=3
key=ill-lighted   value=2
key=room,   value=8
key=sat   value=17
key=men--foreigners   value=1
key=drumhead.   value=1
key=beyond,   value=2
key=girl,   value=7
key=naked   value=4
key=asleep;   value=1
key=gamesters   value=1
key=scorn   value=1
key=lashes.   value=1
key=ribbons   value=1
key=lap   value=1
key=striped   value=2
key=sliding   value=1
key=floor   value=13
key=looked,   value=1
key="'tis   value=2
key=factory   value=1
key=pleasure.   value=1
key=Ne'er   value=2
key=to--to----"   value=2
key="--Down   value=1
key=misshapen   value=1
key=Need'st   value=1
key=abuses,   value=1
key=degrees   value=3
key=pleasure,   value=1
key=vile,   value=1
key=devilish.   value=1
key=such.   value=1
key=proportionate   value=1
key=processions   value=1
key=masques   value=1
key=cater   value=1
key=cleaner   value=1
key=wickedness:   value=1
key=life!   value=1
key=lifts   value=1
key=stones?   value=1
key=fable   value=1
key=paved   value=1
key=gold?   value=1
